image_id,width,height,bbox,source
13669953,1024,1024,"[583.0, 56.0, 94.0, 67.0]",arvalis_2
13669953,1024,1024,"[405.0, 172.0, 112.0, 73.0]",arvalis_2
13669953,1024,1024,"[320.0, 485.0, 79.0, 84.0]",arvalis_2
13669953,1024,1024,"[363.0, 302.0, 97.0, 71.0]",arvalis_2
13669953,1024,1024,"[438.0, 921.0, 103.0, 78.0]",arvalis_2
13669953,1024,1024,"[913.0, 499.0, 105.0, 89.0]",arvalis_2
13669953,1024,1024,"[253.0, 46.0, 90.0, 87.0]",arvalis_2
13669953,1024,1024,"[279.0, 686.0, 81.0, 89.0]",arvalis_2
13669953,1024,1024,"[936.0, 84.0, 88.0, 90.0]",arvalis_2
13669953,1024,1024,"[522.0, 120.0, 115.0, 107.0]",arvalis_2
13669953,1024,1024,"[79.0, 309.0, 69.0, 82.0]",arvalis_2
13669953,1024,1024,"[337.0, 775.0, 103.0, 97.0]",arvalis_2
13669953,1024,1024,"[419.0, 348.0, 126.0, 112.0]",arvalis_2
13669953,1024,1024,"[724.0, 563.0, 102.0, 74.0]",arvalis_2
13669953,1024,1024,"[204.0, 0.0, 80.0, 71.0]",arvalis_2
13669953,1024,1024,"[304.0, 929.0, 126.0, 92.0]",arvalis_2
13669953,1024,1024,"[129.0, 781.0, 122.0, 146.0]",arvalis_2
13669953,1024,1024,"[709.0, 307.0, 112.0, 87.0]",arvalis_2
13669953,1024,1024,"[947.0, 832.0, 74.0, 69.0]",arvalis_2
13669953,1024,1024,"[227.0, 744.0, 75.0, 82.0]",arvalis_2
13669953,1024,1024,"[75.0, 675.0, 91.0, 106.0]",arvalis_2
13669953,1024,1024,"[472.0, 914.0, 112.0, 71.0]",arvalis_2
15939012,1024,1024,"[611.0, 266.0, 93.0, 107.0]",arvalis_3
15939012,1024,1024,"[225.0, 486.0, 95.0, 95.0]",arvalis_3
15939012,1024,1024,"[970.0, 43.0, 54.0, 151.0]",arvalis_3
15939012,1024,1024,"[800.0, 519.0, 54.0, 61.0]",arvalis_3
15939012,1024,1024,"[232.0, 291.0, 68.0, 74.0]",arvalis_3
15939012,1024,1024,"[792.0, 963.0, 96.0, 60.0]",arvalis_3
15939012,1024,1024,"[455.0, 592.0, 58.0, 74.0]",arvalis_3
15939012,1024,1024,"[839.0, 184.0, 77.0, 89.0]",arvalis_3
